PROCESSED TRAINING DATA: FORMAT = X, Y, Z, Angle, Axis X, Axis Y, Axis Z
246.544, -809.402, 3813.05, 2.3603948585986387, 0.5137395894886557, 0.6778049004426601, 0.5259773294809799
113.06, -788.459, 3734.34, 3.008129398684009, -0.6064829689111751, -0.09949366269290215, -0.788846892308411
96.741, -768.829, 3859.76, 1.9037907184718974, 0.4326806916938601, -0.5527076442654539, 0.7122511347873411
168.412, -138.278, 3964.9, 2.2132698145451855, -0.6961015758155333, 0.4227803985455691, -0.5802579863756991
178.573, -304.608, 3913.72, 2.1406474953138024, -0.6816005526512651, 0.46145034221091524, -0.5678769834206342
184.57, -440.811, 3884.83, 2.2585907189572025, -0.570211844131228, 0.5231147691800573, -0.6334109180288572
180.192, -649.357, 3846.21, 2.352089248628993, -0.593809663243145, 0.46095726203283033, -0.6594759179972073
213.768, -615.431, 3850.14, 2.828798998625089, 0.8047795476203231, -0.5807977909317208, -0.12249002318907941
342.581, -561.448, 3852.05, 1.8623310707862972, 0.9259358469689465, -0.26255370840734205, -0.2714928313960649
394.567, -297.199, 3871.53, 1.5156773437186046, 0.8975810844060211, -0.3607448000392778, -0.2533996569870067
368.332, -74.5153, 3838.61, 1.523953476393172, 0.49342718918042944, -0.36320977250599146, -0.7903216244881868
303.312, -6.70311, 3833.43, 2.5126052868291113, 0.7754336658213343, 0.18826692056695196, -0.6027090479917523
319.321, 19.796, 3934.37, 2.5126052868291113, 0.7754336658213343, 0.18826692056695196, -0.6027090479917523
288.178, -26.9255, 3945.88, 1.1889845400238246, 0.5423127801565002, 0.8363771685286961, -0.07981278370567192
148.378, -614.742, 3857.04, 2.7914017892103966, -0.5991179391842044, -0.7964584153478779, 0.08192488980291104
29.3489, -572.069, 3879.92, 2.0868215449487897, -0.39296581303236966, -0.801667756033094, 0.4504516386080442
-23.0352, -329.658, 3999.03, 2.2256263311028457, -0.4638651487579104, -0.6925232786023924, 0.5524858662098016
-50.0894, -103.938, 4030.45, 2.2831645839938486, -0.8051523127799858, 0.17462806653250137, -0.5667757860072712
-70.1246, -29.0369, 4095.66, 1.3524854494245397, -0.5075197900569524, 0.7088196760596764, -0.48989624363859147
-28.1354, 50.6153, 4044.06, 1.3524854494245397, -0.5075197900569524, 0.7088196760596764, -0.48989624363859147
-23.2838, 0.358354, 4074.02, 0.9959481295174946, -0.7452560023236677, -0.5499630831291478, -0.3770067614720294
256.119, -137.737, 3980.56, 2.189009280018577, -0.7039628544077455, 0.3867574372882199, -0.5956970575018379
248.664, 229.022, 4116.38, 2.4028099171251585, -0.736146977842158, 0.2807363797379678, -0.6158528331553543
218.898, 526.757, 4340.49, 2.338348214585831, -0.7044917634394784, 0.3534420642634474, -0.6154429806693121
233.411, 693.964, 4267.42, 2.7822319617310636, 0.7511644020035922, 0.17227352465407095, 0.6372392595139197
89.3221, -138.766, 3950.79, 2.1662612165493567, 0.6258476648391127, 0.5384835453143543, 0.564225284652428
114.323, 249.005, 3909.61, 2.119238510854702, 0.6131048396089563, 0.5668362808428108, 0.5502718295246143
137.252, 625.916, 3898.44, 2.278156028110006, 0.5501779650611598, 0.5901714499317849, 0.5907637992011494
122.972, 715.814, 3756.74, 1.7408127176674293, 0.07858475754655395, 0.9968989684170869, 0.004108850240336696
177.241, -724.359, 3819.07, 2.2071480407835926, -0.4697393736737581, 0.5554988370028766, -0.686123868488072
130.421, -758.056, 3673.04, 2.2071480407835926, -0.4697393736737581, 0.5554988370028766, -0.686123868488072
157.354, -797.127, 3700.22, 3.097729751253525, -0.6151907498703774, -0.08248571052712664, -0.7840513049748452
241.465, -799.048, 3791.14, 2.2760372312265447, 0.4961510305405583, 0.6748007836134107, 0.5463314537240823
108.622, -785.116, 3709.75, 3.097729751253525, -0.6151907498703774, -0.08248571052712664, -0.7840513049748452
87.7182, -772.995, 3835.48, 1.9388880729065803, 0.46973937367375806, -0.5554988370028766, 0.6861238684880719
166.368, -136.697, 3934.64, 2.199594404478021, -0.7018157488186176, 0.4105000269669391, -0.5821893013189999
174.602, -303.133, 3881.63, 2.1126010951893495, -0.6843066420885402, 0.4567412589771799, -0.5684292761122065
